id;store_idp_code;store_name;latitude;longitude;address;image;image_content_type;image_uri_link
1;service-desk Metal backing up;methodical Chips;Dynamic Administrator teal;cultivate;Place portal;../fake-data/blob/hipster.png;image/png;Keyboard
2;out-of-the-box cross-platform;Toys;Practical cultivate standardization;auxiliary Home;out-of-the-box;../fake-data/blob/hipster.png;image/png;Intelligent Small
3;Fantastic;Identity;Oklahoma;Profit-focused synthesizing;Zimbabwe Dollar parse;../fake-data/blob/hipster.png;image/png;bottom-line
4;revolutionize integrate;encryption;open-source;Denmark Cyprus;initiatives;../fake-data/blob/hipster.png;image/png;Computer Money Market Account
5;generate partnerships;auxiliary maroon;granular matrix;tertiary;Function-based;../fake-data/blob/hipster.png;image/png;synergies JBOD Bond Markets Units European Composite Unit (EURCO)
6;Ergonomic Bacon;architectures;Principal;invoice leverage;applications;../fake-data/blob/hipster.png;image/png;Zambia
7;Electronics;Developer Steel Villages;Associate;Illinois brand;Forge Data input;../fake-data/blob/hipster.png;image/png;Georgia
8;artificial intelligence Inlet Hat;matrix program;streamline Engineer;Taiwan Guinea-Bissau Technician;Washington redundant 3rd generation;../fake-data/blob/hipster.png;image/png;firewall Customer visionary
9;forecast Texas;Consultant Central Savings Account;Fresh generating bandwidth;generate XSS payment;aggregate payment;../fake-data/blob/hipster.png;image/png;bypass expedite
10;white;Division Sleek proactive;deposit Credit Card Account;port transmitting Tactics;USB Manager proactive;../fake-data/blob/hipster.png;image/png;Rustic Cotton Towels ROI
